,Clave,Alcaldía,Habitantes (Año 2015),Superficie (m²),Superficie por habitante (m²)
1,2,Azcapotzalco,400161,3980866.7,9.9
2,3,Coyoacán,608479,9157547.7,15.0
3,4,Cuajimalpa de Morelos,199224,2048957.7,10.3
4,5,Gustavo A. Madero,1164477,7851619.6,6.7
5,6,Iztacalco,390348,1944289.0,5.0
6,7,Iztapalapa,1827868,9834858.6,5.4
7,8,La Magdalena Contreras,243886,1335114.4,5.5
8,9,Milpa Alta,137927,309724.0,2.2
9,10,Álvaro Obregón,749982,4913463.7,6.6
10,11,Tláhuac,361593,3054084.7,8.4
11,12,Tlalpan,677104,6530744.7,9.6
12,13,Xochimilco,415933,2092259.6,5.0
13,14,Benito Juárez,417416,929230.8,2.2
14,15,Cuauhtémoc,532553,1915961.0,3.6
15,16,Miguel Hidalgo,364439,5607701.5,15.4
16,17,Venustiano Carranza,427263,5805150.1,13.6
17,,TOTAL,8918653,67311573.8,7.5
